rte_consumption_scenario,rte_production_scenario,lcia_method,impact,impact_unit,year,value
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.00015807183835859999
reference,m23,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2025,0.0001584440560743
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2019,0.0001561052027738
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2020,0.00015651260282490001
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2021,0.00015691296640899999
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2022,0.0001573062935259
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2023,0.00015769258417580001
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.00015807183835859999
reference,n1,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2025,0.0001584440560743
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2019,0.0001561052027738
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2020,0.00015651260282490001
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2021,0.00015691296640899999
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2022,0.0001573062935259
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2023,0.00015769258417580001
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.00015807183835859999
reference,n2,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2025,0.0001584440560743
reference,n03,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2019,0.0001561052027738
reference,n03,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2020,0.00015641943228209999
reference,n03,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2021,0.00015672540729999999
reference,n03,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2022,0.00015702312782740001
reference,n03,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2023,0.00015731259386440001
reference,n03,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2024,0.000157593805411
reference,n03,"AESA (PBs-LCIA), 0.9.1, atmospheric aerosol loading, AOD (Global)",AAL,AOD,2025,0.00015786676246710001
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2019,0.043299745444682097
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2020,0.042952703962040102
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2021,0.0425980361283314
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2022,0.0422357419435559
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2023,0.041865821407713701
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2024,0.041488274520804801
reference,m0,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2025,0.041103101282829103
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2019,0.043299745444682097
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2020,0.042999455975035301
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2021,0.0426920867365113
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2022,0.042377637729110101
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2023,0.0420561089528316
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2024,0.041727500407675797
reference,m1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2025,0.041391812093642698
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2019,0.043299745444682097
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2020,0.042999455975035301
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2021,0.0426920867365113
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2022,0.042377637729110101
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2023,0.0420561089528316
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2024,0.041727500407675797
reference,m23,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2025,0.041391812093642698
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2019,0.043299745444682097
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2020,0.042999455975035301
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2021,0.0426920867365113
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2022,0.042377637729110101
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2023,0.0420561089528316
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2024,0.041727500407675797
reference,n1,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2025,0.041391812093642698
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2019,0.043299745444682097
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2020,0.042999455975035301
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2021,0.0426920867365113
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2022,0.042377637729110101
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2023,0.0420561089528316
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2024,0.041727500407675797
reference,n2,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2025,0.041391812093642698
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2019,0.043299745444682097
reference,n03,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, nitrogen, inverse modelling, surface water",N,Tg N yr-1,2020,0.043095520603041802
