rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,lcia_method,impact,impact_unit,year,value
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2034,16491238164
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2035,15205246038
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2036,13874649091
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2037,12499447323
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2038,11079640734
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2039,9615229324
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2040,8106213094
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2041,8191818725
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2042,8275052663
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2043,8355914907
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2044,8434405457
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2045,8510524313
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2046,8584271475
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2047,8655646944
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2048,8724650718
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2049,8791282798
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2050,8855543184
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2051,8785142930
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2052,8714651623
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2053,8644069265
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2054,8573395854
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2055,8502631391
