country,sector,year,summary_level,fu_ratio,ratio_label,row_count,ratio_count,num_zero_den_positive_count,mean,p5,p25,p50,p75,p95
NL,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.22108074318303927,0.01890616572792808,0.060198158071661886,0.17546767856437212,0.38359435905631034,0.47538320885199964
NO,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.30336609361100103,0.018719654873781123,0.07863710838859142,0.2875180998828123,0.5038306235841392,0.6275054336894846
NO,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.38769753067385393,0.0982524701063251,0.20558474839713498,0.4233347526845555,0.527558709271048,0.6637335680152476
NO,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.2190346565481481,0.010878197852547143,0.0422156909998332,0.14887525895981749,0.3683363044410883,0.5273886242003846
PL,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.4533687682423824,0.1703212030621282,0.383469031165178,0.5025789343279974,0.5396470489634851,0.6773459007479363
PL,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.5040796789177778,0.33662800125043035,0.4435311837312518,0.5025789343279974,0.5290656951821671,0.6969905445546274
PL,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.40265785756698697,0.07910691313404487,0.3331667713318143,0.4704592214070887,0.5429255671304105,0.5999227953009761
PT,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.45534061333328074,0.05062758544381373,0.2479204446525141,0.4280547826111042,0.7446024028539542,0.777631124553514
PT,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.7042876398838324,0.5490387984577428,0.6904929486554277,0.7448009552478092,0.7679652406163944,0.7790156737158437
PT,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.20639358678272912,0.024048509067218466,0.11510067830113309,0.22825166749448023,0.3228202981892448,0.3464817017179171
RO,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.3601923311707877,0.10299063342622353,0.3436347044620065,0.4177313632197429,0.4300884953261922,0.47614892157291633
RO,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.4123325854352445,0.3259330781749932,0.4145148960405309,0.42451326081271334,0.43150723976702887,0.47028332813040175
RO,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.3080520769063309,0.047672374389591446,0.22923108786658494,0.3804582649197976,0.4221319951536468,0.4604519406023125
RU,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.28874968441515797,0.05614615275394538,0.1389492540082213,0.20106463278842063,0.44987258152318854,0.5890656486871125
RU,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.14101526734345596,0.02836921399536249,0.12012635036290892,0.16616339373162145,0.19099381468255316,0.2049287529996564
RU,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.4364841014868599,0.16846016829597527,0.38167711131160714,0.4825828605518479,0.5638548378175092,0.602350318331661
SE,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.34518184307635374,0.0767176460021351,0.21156121859856322,0.3891064771180492,0.5151848171623071,0.5656973717257435
SE,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.3825314957833037,0.1715513295558474,0.2831844202025653,0.40235231585809106,0.4995909731980199,0.5585791040341896
SE,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.30783219036940385,0.047615042969534824,0.14868156053783574,0.3145059462491758,0.48266223321967916,0.5498103472304008
SI,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.3416113545789801,0.06500302936372764,0.23904864488764033,0.2797429109507954,0.5101073147537961,0.6307810690041233
SI,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.5016853222337457,0.31962897151546266,0.42801908196930244,0.5255035131446313,0.6093072139606805,0.633316682581001
SI,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.18153738692421473,0.05232819915168646,0.10398642227749465,0.21399905161329702,0.26617589091668437,0.2681496063289806
SK,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.3951906614756439,0.0315666702363504,0.1394596474607065,0.3430982651202219,0.6981275868934321,0.7620284139762665
SK,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.6692095293292436,0.49831412680095827,0.619999236322552,0.7127954323268952,0.7504385583868041,0.7679088876596899
SK,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.12117179362204396,0.01906727585290925,0.06225844715480738,0.12566859936870203,0.18481298484376268,0.2148781415170895
TR,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.4474551176765325,0.0881309808739519,0.24843246968121485,0.29809073765206684,0.7478806858872415,0.9589045428716092
TR,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.2545172181383784,0.180627266652062,0.24538017556912586,0.258144692055983,0.267893527498143,0.3213489388604813
TR,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.6403930172146867,0.08257101897983023,0.4221504293425496,0.7904607376988207,0.8873860606173362,1.0039690378643789
TW,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.34780564340769643,0.022651117439387185,0.0787251751201063,0.277803572605611,0.4754490182022135,0.896156825452366
TW,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.c.a / L2.c.b,,6,6,0,0.34482824950700425,0.08303408158001223,0.16892997342600286,0.32357832581151225,0.3872931542480855,0.7203695759720169
TW,"Recreational, cultural and sporting activities (92)",2022,fu_ratio,L2.a.c / L2.c.b,,6,6,0,0.3507830373083887,0.015207429898809799,0.0460701625555122,0.18072481866981108,0.611748655039569,0.9139247378107724
US,"Recreational, cultural and sporting activities (92)",2022,combined_fu_ratio,L2.c.a and L2.a.c / L2.c.b,,12,12,0,0.3784121706111449,0.060136050128198074,0.19745169941656124,0.39285474769233886,0.5635455314324637,0.6662579242283082
